"pat" "th"
638 5729
770 5777
1141 5422
1509 4647
1670 3813
1693 3723
1788 3169
1695 2382
1603 1407
1501 767
1625 1468
1637 2221
1638 3432
1799 4652
1841 6496
1874 7584
2055 8054
2387 7608
2323 7193
2209 6554
1958 6727
2080 6677
2031 6161
2306 5964
2226 5999
2340 5820
2536 5540
2267 4540
1978 4342
1666 3438
1344 3524
1538 2862
1112 2196
1155 1672
1647 1905
1564 1726
1591 1878
1374 1347
1114 1530
1234 772
1108 761
704 715
338 1145
425 1306
470 1516
434 1411
479 1835
1044 1838
1162 2282
1790 3218
2208 3073
2257 3216
2154 3394
1767 3864
1599 3627
871 3985
501 4292
248 4691
495 4942
671 5404
854 5527
682 5307
634 5161
1151 4974
1460 4223
1838 3793
1907 4062
1887 4781
2221 5558
2104 4704
2125 4563
2020 4395
2001 4715
2195 4859
2596 5446
2725 5760
2529 6124
1584 5816
974 5406
676 5504
1357 5864
1751 5906
2443 5016
3115 4386
3389 3735
2655 2175
2545 2499
2812 3019
2993 3503
2530 3622
2761 4006
2894 3733
3692 3292
3810 2620
3247 2859
3507 2789
2910 3181
2001 2602
1181 2812
1390 1812
2672 1442
2379 1006
2871 1524
2873 1939
1955 2348
1264 2626
1557 2615
1573 2330
1966 2124
1869 1816
1816 1448
2154 1071
1834 858
1969 622
2111 708
2413 657
2476 653
3149 582
3794 535
4363 501
4377 359
4228 391
3660 401
3338 126
3375 86
2980 45
2655 109
2929 324
3155 534
2584 830
3170 905
2906 953
2865 537
2785 531
2127 265
1396 215
1161 240
1309 253
654 321
1035 219
816 936
1033 1476
957 2326
1090 2629
855 2655
967 2825
1710 2270
2374 2421
3270 2183
4094 2358
3307 2234
3238 1801
3466 1467
3248 1350
3606 1461
3580 1815
3242 2151
2965 2329
3030 2373
3206 2612
3270 2485
3383 2590
3541 2166
4328 2184
4245 1730
4572 1876
4533 1560
4076 1464
3280 754
4521 1387
6725 1888
6458 3224
5238 4076
3885 5053
3583 4687
3277 2750
3807 2828
3701 3166
3323 2674
3030 2590
2360 2610
1932 3143
1393 3262
1146 3824
1076 4272
1622 3771
1779 3136
1485 1928
1356 2377
1268 2959
1440 2949
1294 2856
1526 2748
2251 1983
2132 1106
1667 906
1949 933
2040 560
1971 405
1876 525
2210 565
2464 446
2437 207
2002 65
1505 61
1452 55
1623 143
1287 0
1373 36
1341 23
1519 0
1706 6
1352 0
1030 3
1619 53
1722 335
1487 1198
1417 2249
1377 2637
1303 2130
1416 1482
1110 672
863 306
594 154
769 170
953 5
1248 41
1649 3
1973 8
1854 18
2589 3
3321 52
3484 7
3772 20
3673 16
3777 17
4903 11
4939 27
4389 4
4528 3
4094 3
4450 4
4940 2
5152 10
5545 9
5895 60
5892 3
5837 24
5262 8
4224 7
3726 2
3565 3
3366 10
3160 60
3710 82
