"pat" "th"
4615 4013
4143 3830
3737 3784
3566 3236
3146 3187
3409 2569
4779 3185
4856 2846
5025 3449
4656 2842
4325 2855
3941 2092
3569 2118
3202 1431
3068 1472
3685 1479
3722 1680
3957 1580
4414 1481
4422 1696
4152 1540
4380 1588
4541 1407
4612 1522
4335 1788
4153 1495
3966 1550
3914 1456
3828 1181
4375 1682
4359 1914
5110 2348
4208 2095
4834 1920
4542 1817
2955 1458
3091 985
3486 697
3259 1035
3574 574
3986 848
4134 955
3264 980
2782 1623
3927 1416
4527 1653
4908 1470
4410 1889
4048 1746
4024 2104
4057 2125
3811 2548
3989 2492
3369 2005
4678 1293
4881 1170
5321 1043
4872 478
5500 967
5155 638
3631 577
3011 436
2729 191
2098 269
2049 482
2333 1160
3198 797
4034 161
4751 464
5436 415
5183 1057
4608 1304
3749 1550
3291 1266
2553 822
2045 1349
1060 1352
1013 1048
1473 960
716 787
775 1097
760 1388
231 1358
427 1525
762 2021
863 1729
1177 2464
1279 2560
1097 1449
956 1497
1086 743
930 873
901 789
781 499
630 482
1090 564
1534 295
2530 391
3617 418
4500 144
4934 225
5080 25
4832 72
4647 24
4588 98
3994 55
3275 223
3308 22
4450 36
3994 180
3468 172
3545 57
3322 52
3177 106
3338 225
2975 145
2692 152
2083 97
1329 166
1019 179
1654 129
1919 82
1810 123
1283 344
826 50
752 436
406 75
439 44
296 66
231 195
247 175
492 422
345 275
372 306
116 293
230 288
336 442
516 92
433 485
316 1091
684 1689
1181 1724
1098 794
1267 502
1815 1268
1898 1117
1606 1639
1311 1505
624 970
513 1499
782 731
1361 1386
1827 1027
2151 959
2688 708
2921 1132
3368 928
2930 854
3105 253
3218 496
3311 387
3514 183
3459 179
3773 171
3196 86
2962 13
2339 21
2581 24
2636 1
3042 45
3401 31
3611 112
3568 152
3175 78
3075 139
2946 188
3388 93
3535 102
3804 107
3192 228
2736 117
2088 274
1515 170
2032 48
2778 86
3168 80
3630 104
3401 38
3312 331
2901 156
2756 118
2661 133
2584 354
2090 55
894 235
1043 217
1259 308
1119 181
667 263
750 158
811 173
1060 157
806 207
621 78
496 281
793 152
998 253
831 152
879 132
858 158
728 170
627 215
296 170
325 421
554 241
633 314
524 141
417 353
752 274
812 206
489 281
736 244
1264 60
1334 151
1413 377
1749 393
1930 564
1286 422
919 907
573 722
560 610
905 887
560 452
492 483
311 1176
350 774
371 1371
241 486
301 558
500 298
563 321
402 51
381 562
431 70
417 534
419 63
466 23
465 3
390 0
726 8
1296 60
1371 190
1576 101
1864 71
1669 353
1996 148
2366 226
1807 85
1372 84
833 50
879 37
1079 29
1089 34
1033 132
577 19
371 68
690 200
509 212
494 207
1067 442
1072 237
735 268
678 183
998 86
568 12
470 5
581 14
601 23
707 6
909 97
1354 104
1651 122
1529 104
1178 64
941 199
2009 177
3074 39
4057 55
4506 114
4042 63
3481 52
3317 75
3042 55
2853 127
2444 64
1993 104
1063 127
1538 88
1376 36
1194 126
1459 76
1421 72
1346 89
1145 144
933 106
997 60
1227 150
1315 109
1521 115
1458 100
1240 88
1035 108
1013 104
1128 73
1258 109
1436 58
1424 16
1434 0
1362 16
1359 0
1538 0
1827 17
1828 0
1804 50
2246 0
2495 19
2540 18
3072 0
3311 64
3440 21
3251 18
2972 33
3090 0
3193 73
3138 75
2494 80
2183 103
1953 113
2316 102
2145 68
2149 104
1654 67
1059 32
779 91
914 95
948 76
1476 92
1128 137
647 75
276 98
144 104
200 58
142 81
473 121
743 125
1043 72
1121 84
756 40
1477 76
2072 44
2444 84
2310 84
1997 90
2761 106
3703 82
4696 132
4626 80
4963 105
4723 40
3625 95
3108 50
2257 113
1849 65
1562 111
1492 26
2154 47
2735 94
3269 44
4505 65
4937 76
3531 73
2880 69
2506 133
2625 60
1953 89
1758 77
1286 100
1176 101
1523 157
1880 113
2658 55
3030 37
3057 51
2409 40
2399 22
2728 20
3210 30
3328 28
3143 38
3107 33
2607 33
2230 23
1768 29
1678 23
1647 24
1850 20
2048 26
1694 4
2368 6
2780 6
3181 4
2664 1
2430 2
1919 1
1429 0
1360 2
1118 2
1159 2
1315 29
2047 1
1839 0
1453 0
1536 0
1395 0
1468 0
1361 14
1143 22
1581 95
2473 81
3251 68
3136 81
2620 144
1751 101
1282 98
2333 43
2989 61
3099 37
2457 49
1887 22
1391 21
1233 75
1273 45
1505 33
1245 45
859 29
740 3
1225 45
1226 40
973 59
561 46
589 95
726 53
538 81
524 63
1029 86
964 105
898 120
761 76
865 66
951 70
1165 91
1331 85
1395 89
1105 86
1070 94
1374 102
1634 20
1834 63
2387 20
2781 56
2795 69
2927 54
3303 47
3571 44
4123 80
4149 94
3826 67
3389 40
2874 69
2368 92
2298 99
2349 123
1535 28
1150 80
1215 88
1455 64
1499 19
1549 1
2040 0
2489 0
2995 1
3970 1
4787 8
5511 11
5110 5
5004 3
4473 9
3794 5
3124 11
2839 9
2541 17
2400 20
2925 14
3191 25
3504 36
3388 28
3296 23
2814 30
2938 23
2457 26
1802 21
1281 15
611 10
610 5
479 76
600 79
900 145
735 115
515 126
983 75
1308 105
1630 131
1817 26
1221 50
711 134
508 99
324 22
386 91
207 55
295 47
580 21
549 174
299 114
529 57
255 48
35 54
105 65
129 51
264 92
276 51
286 53
296 43
318 71
277 78
251 64
418 25
506 87
481 80
906 60
671 59
689 74
378 48
550 91
678 58
692 50
322 56
415 76
208 12
184 16
150 28
104 37
318 99
458 63
496 51
1113 84
1468 86
1053 82
769 67
959 52
1275 72
1464 119
1638 108
1488 104
1428 109
1254 74
1073 109
739 78
603 82
593 100
524 102
490 101
280 116
236 147
278 0
427 1
452 0
733 2
703 3
812 6
1047 5
1500 11
1902 10
2317 14
2771 15
2667 10
2513 14
2078 10
1867 17
1732 12
1586 9
1629 8
1306 8
484 1
462 3
371 0
201 2
208 16
27 0
91 0
57 0
33 0
236 0
143 0
242 2
385 0
386 0
309 1
202 0
29 2
62 0
76 0
33 0
0 0
17 0
1 0
18 0
163 0
71 1
0 2
0 0
79 0
31 12
0 0
30 0
43 4
8 0
8 4
